FEC_VALOR,COD_INVERSION,COD_EMPRESA,VALOR,IND_AUTORIZADO
27/03/2017,3,2,34.1444165,S
28/03/2017,0,2,10.4484133,S
28/03/2017,3,2,34.15739,S
28/03/2017,1,2,22.5771575,S
28/03/2017,2,2,29.8819707,S
29/03/2017,0,2,10.4510711,S
29/03/2017,3,2,34.2998819,S
29/03/2017,1,2,22.6206395,S
30/03/2017,0,2,10.453158,S
29/03/2017,2,2,29.9657367,S
30/03/2017,3,2,34.4351827,S
30/03/2017,2,2,30.0253617,S
30/03/2017,1,2,22.6605659,S
31/03/2017,0,2,10.454352,S
31/03/2017,1,2,22.6355655,S
31/03/2017,2,2,29.9949774,S
31/03/2017,3,2,34.3985393,S
01/04/2017,0,2,10.4557697,S
01/04/2017,1,2,22.6867604,S
01/04/2017,2,2,30.0754493,S
02/04/2017,0,2,10.4557697,S
01/04/2017,3,2,34.5303815,S
02/04/2017,1,2,22.6867604,S
02/04/2017,2,2,30.0754493,S
02/04/2017,3,2,34.5303815,S
03/04/2017,0,2,10.4557697,S
03/04/2017,1,2,22.6867604,S
03/04/2017,2,2,30.0754493,S
03/04/2017,3,2,34.5303815,S
04/04/2017,0,2,10.4598623,S
04/04/2017,2,2,30.0613404,S
04/04/2017,1,2,22.6788419,S
05/04/2017,0,2,10.4626794,S
04/04/2017,3,2,34.5564544,S
05/04/2017,2,2,30.0892392,S
05/04/2017,1,2,22.6978998,S
05/04/2017,3,2,34.6029159,S
06/04/2017,0,2,10.4635295,S
06/04/2017,3,2,34.6134688,S
06/04/2017,1,2,22.7025236,S
06/04/2017,2,2,30.0715553,S
07/04/2017,3,2,34.6905372,S
07/04/2017,0,2,10.4659177,S
08/04/2017,0,2,10.4685914,S
07/04/2017,2,2,30.0993169,S
07/04/2017,1,2,22.7206995,S
08/04/2017,3,2,34.6618477,S
08/04/2017,1,2,22.7595733,S
09/04/2017,0,2,10.4685914,S
08/04/2017,2,2,30.1122783,S
09/04/2017,1,2,22.7595733,S
09/04/2017,2,2,30.1122783,S
09/04/2017,3,2,34.6618477,S
10/04/2017,0,2,10.4685914,S
10/04/2017,1,2,22.7595733,S
10/04/2017,2,2,30.1122783,S
10/04/2017,3,2,34.6618477,S
11/04/2017,0,2,10.471465,S
11/04/2017,3,2,34.6002262,S
11/04/2017,1,2,22.723255,S
11/04/2017,2,2,30.066476,S
12/04/2017,0,2,10.4716635,S
12/04/2017,2,2,30.0907733,S
12/04/2017,1,2,22.733079,S
12/04/2017,3,2,34.6798264,S
13/04/2017,0,2,10.4730992,S
13/04/2017,1,2,22.7252096,S
13/04/2017,3,2,34.6569055,S
13/04/2017,2,2,30.0780518,S
14/04/2017,0,2,10.4743314,S
14/04/2017,1,2,22.7178406,S
14/04/2017,3,2,34.493794,S
14/04/2017,2,2,30.0104606,S
15/04/2017,0,2,10.4755638,S
16/04/2017,0,2,10.4755638,S
15/04/2017,2,2,30.0183334,S
15/04/2017,1,2,22.7263217,S
15/04/2017,3,2,34.4922034,S
16/04/2017,1,2,22.7263217,S
16/04/2017,2,2,30.0183334,S
16/04/2017,3,2,34.4922034,S
17/04/2017,0,2,10.4755638,S
17/04/2017,1,2,22.7263217,S
17/04/2017,2,2,30.0183334,S
17/04/2017,3,2,34.4922034,S
18/04/2017,0,2,10.4794858,S
18/04/2017,1,2,22.7378036,S
18/04/2017,3,2,34.4597076,S
18/04/2017,2,2,30.0328095,S
19/04/2017,0,2,10.4815964,S
19/04/2017,1,2,22.7562091,S
19/04/2017,2,2,30.020589,S
19/04/2017,3,2,34.3629016,S
20/04/2017,0,2,10.4832435,S
20/04/2017,1,2,22.7666693,S
20/04/2017,3,2,34.3585182,S
20/04/2017,2,2,30.0237091,S
21/04/2017,0,2,10.4845189,S
21/04/2017,1,2,22.7721675,S
21/04/2017,3,2,34.5117213,S
21/04/2017,2,2,30.084361,S
22/04/2017,3,2,34.4100254,S
22/04/2017,0,2,10.4862757,S
22/04/2017,1,2,22.7489654,S
22/04/2017,2,2,30.0316421,S
23/04/2017,1,2,22.7489654,S
23/04/2017,2,2,30.0316421,S
23/04/2017,3,2,34.4100254,S
23/04/2017,0,2,10.4862757,S
24/04/2017,0,2,10.4862757,S
24/04/2017,1,2,22.7489654,S
24/04/2017,2,2,30.0316421,S
24/04/2017,3,2,34.4100254,S
25/04/2017,0,2,10.4901467,S
25/04/2017,3,2,34.760214,S
25/04/2017,2,2,30.2498564,S
25/04/2017,1,2,22.8350197,S
26/04/2017,0,2,10.4916916,S
26/04/2017,1,2,22.856788,S
26/04/2017,3,2,35.0590896,S
26/04/2017,2,2,30.3788696,S
27/04/2017,0,2,10.4929178,S
27/04/2017,1,2,22.8540037,S
27/04/2017,3,2,35.1603471,S
27/04/2017,2,2,30.41297,S
28/04/2017,0,2,10.4945705,S
28/04/2017,1,2,22.8637491,S
28/04/2017,3,2,35.0793418,S
28/04/2017,2,2,30.41369,S
29/04/2017,0,2,10.4959673,S
29/04/2017,1,2,22.8783133,S
29/04/2017,3,2,34.9384846,S
29/04/2017,2,2,30.3891254,S
30/04/2017,0,2,10.4959673,S
30/04/2017,1,2,22.8783133,S
30/04/2017,2,2,30.3891254,S
30/04/2017,3,2,34.9384846,S
01/05/2017,0,2,10.4959673,S
01/05/2017,1,2,22.8783133,S
01/05/2017,2,2,30.3891254,S
01/05/2017,3,2,34.9384846,S
02/05/2017,0,2,10.499472,S
02/05/2017,3,2,34.9864861,S
02/05/2017,2,2,30.4159538,S
02/05/2017,1,2,22.8915516,S
03/05/2017,0,2,10.5005633,S
03/05/2017,1,2,23.0388223,S
03/05/2017,3,2,35.1460645,S
03/05/2017,2,2,30.5795699,S
04/05/2017,0,2,10.5020918,S
04/05/2017,3,2,35.2674825,S
04/05/2017,1,2,23.1021447,S
04/05/2017,2,2,30.6815254,S
05/05/2017,0,2,10.5033336,S
05/05/2017,1,2,23.130496,S
05/05/2017,3,2,35.5989771,S
05/05/2017,2,2,30.8571402,S
06/05/2017,3,2,35.5342797,S
06/05/2017,0,2,10.5054793,S
06/05/2017,1,2,23.0692116,S
06/05/2017,2,2,30.7878898,S
07/05/2017,0,2,10.5054793,S
07/05/2017,1,2,23.0692116,S
07/05/2017,2,2,30.7878898,S
07/05/2017,3,2,35.5342797,S
08/05/2017,0,2,10.5054793,S
08/05/2017,1,2,23.0692116,S
08/05/2017,2,2,30.7878898,S
08/05/2017,3,2,35.5342797,S
09/05/2017,3,2,35.8004279,S
09/05/2017,0,2,10.5092588,S
09/05/2017,1,2,23.1132825,S
10/05/2017,3,2,35.9011086,S
09/05/2017,2,2,30.897071,S
10/05/2017,0,2,10.5101849,S
10/05/2017,2,2,30.9360803,S
11/05/2017,3,2,35.8237664,S
10/05/2017,1,2,23.1166951,S
11/05/2017,0,2,10.5120384,S
11/05/2017,2,2,30.9461827,S
11/05/2017,1,2,23.145372,S
12/05/2017,0,2,10.5137853,S
12/05/2017,1,2,23.1469645,S
12/05/2017,3,2,35.833796,S
12/05/2017,2,2,30.9273381,S
13/05/2017,0,2,10.516774,S
13/05/2017,3,2,35.7332476,S
13/05/2017,1,2,23.1376886,S
13/05/2017,2,2,30.8733618,S
14/05/2017,0,2,10.516774,S
14/05/2017,1,2,23.1376886,S
14/05/2017,2,2,30.8733618,S
14/05/2017,3,2,35.7332476,S
15/05/2017,0,2,10.516774,S
15/05/2017,1,2,23.1376886,S
15/05/2017,2,2,30.8733618,S
15/05/2017,3,2,35.7332476,S
16/05/2017,3,2,35.8106852,S
16/05/2017,0,2,10.5219537,S
16/05/2017,1,2,23.1428455,S
16/05/2017,2,2,30.9001208,S
17/05/2017,3,2,35.8777748,S
17/05/2017,0,2,10.5233807,S
17/05/2017,1,2,23.1733276,S
18/05/2017,3,2,35.6214349,S
17/05/2017,2,2,30.9702286,S
18/05/2017,1,2,23.1625656,S
18/05/2017,0,2,10.5245557,S
18/05/2017,2,2,30.8595847,S
19/05/2017,3,2,35.4227333,S
19/05/2017,0,2,10.5264711,S
19/05/2017,2,2,30.7763228,S
19/05/2017,1,2,23.1036863,S
20/05/2017,0,2,10.5277953,S
20/05/2017,1,2,23.1029231,S
20/05/2017,3,2,35.5677254,S
20/05/2017,2,2,30.8175742,S
21/05/2017,3,2,35.5677254,S
21/05/2017,0,2,10.5277953,S
21/05/2017,1,2,23.1029231,S
21/05/2017,2,2,30.8175742,S
22/05/2017,3,2,35.5677254,S
22/05/2017,2,2,30.8175742,S
22/05/2017,1,2,23.1029231,S
22/05/2017,0,2,10.5277953,S
23/05/2017,0,2,10.5323084,S
23/05/2017,3,2,35.7317073,S
23/05/2017,1,2,23.1253713,S
23/05/2017,2,2,30.89268,S
24/05/2017,0,2,10.5335389,S
24/05/2017,3,2,35.8176187,S
24/05/2017,1,2,23.1474228,S
24/05/2017,2,2,30.9418273,S
25/05/2017,0,2,10.5348929,S
25/05/2017,3,2,35.7013342,S
25/05/2017,1,2,23.1304589,S
25/05/2017,2,2,30.8810495,S
26/05/2017,1,2,23.1477466,S
26/05/2017,0,2,10.5364179,S
26/05/2017,3,2,35.7763983,S
26/05/2017,2,2,30.9332525,S
27/05/2017,0,2,10.5376244,S
27/05/2017,1,2,23.1801311,S
27/05/2017,3,2,35.7691058,S
27/05/2017,2,2,30.9611046,S
28/05/2017,0,2,10.5376244,S
28/05/2017,1,2,23.1801311,S
28/05/2017,2,2,30.9611046,S
28/05/2017,3,2,35.7691058,S
29/05/2017,0,2,10.5376244,S
29/05/2017,1,2,23.1801311,S
29/05/2017,2,2,30.9611046,S
29/05/2017,3,2,35.7691058,S
30/05/2017,1,2,23.2116491,S
30/05/2017,3,2,35.8733157,S
30/05/2017,0,2,10.5415859,S
30/05/2017,2,2,31.0183469,S
31/05/2017,0,2,10.54276,S
31/05/2017,1,2,23.2170633,S
